id,speaker_header,polarity,subjectivity
167,othello33_26_2,-0.6666666666666666,1.0
168,othello33_27_1,0.0,0.0
169,othello33_27_2,0.0,0.5
170,othello33_28_1,0.0625,0.375
171,othello33_29_1,0.0,0.0
172,othello33_29_2,-0.3,0.4
173,othello33_29_3,0.0,0.0
174,othello33_29_4,0.0,0.0
175,othello33_30_1,0.0,0.0
176,othello33_30_2,-0.2,0.0
177,othello33_30_3,0.0,0.0
178,othello33_30_4,0.0,0.0
179,othello33_31_1,-0.1,0.3
180,othello33_31_2,0.0,0.0
181,othello33_31_3,0.0,0.0
182,othello33_32_1,0.0,0.0
183,othello33_33_1,0.35,0.65
184,othello33_33_2,0.0,0.0
185,othello33_34_1,0.0,0.0
186,othello33_35_1,-0.1,0.35
187,othello33_36_1,0.0,0.0
188,othello33_36_2,0.0,0.0
189,othello33_37_1,0.0,0.0
190,othello33_37_2,0.0,0.0
191,othello33_38_1,0.0,0.0
192,othello33_39_1,0.0,0.0
193,othello33_40_1,0.65,1.0
194,othello33_41_1,0.0,0.0
195,othello33_42_1,0.0,0.5
196,othello33_43_1,0.4,0.7
197,othello33_43_2,-0.15,0.4
198,othello33_44_1,0.0,0.0
199,othello33_44_2,0.0,0.0
200,othello33_44_3,0.0,0.5
201,othello33_44_4,0.2,0.4
202,othello33_44_5,0.0,0.0
203,othello33_45_1,0.0,0.0
204,othello33_45_2,0.5,0.5
205,othello33_45_3,-0.125,0.125
206,othello33_45_4,-0.4,0.6
207,othello33_45_5,0.0,0.0
208,othello33_45_6,0.0,0.0
209,othello33_45_7,0.0,0.0
210,othello33_45_8,0.09999999999999998,0.375
211,othello33_45_9,0.0,0.0
212,othello33_45_10,0.0,0.0
213,othello33_45_11,0.0,0.0
214,othello33_45_12,0.0,0.0
215,othello33_45_13,0.0,0.0
216,othello33_45_14,0.0,0.0
217,othello33_45_15,0.0,0.0
218,othello33_46_1,0.0,0.0
219,othello33_46_2,0.0,0.0
220,othello33_46_3,0.0,0.0
221,othello33_47_1,0.0,0.0
222,othello33_47_2,0.0,0.0
223,othello33_48_1,0.0,0.0
224,othello33_49_1,0.0,0.0
225,othello33_50_1,0.4375,0.65
226,othello33_50_2,0.0,0.0
227,othello33_51_1,0.0,0.0
228,othello33_51_2,0.5416666666666667,0.8333333333333334
229,othello33_52_1,0.0,0.0
230,othello33_53_1,0.0,0.0
231,othello33_53_2,0.0,0.0
232,othello33_54_1,-0.21,0.18
233,othello33_54_2,0.0,0.0
234,othello33_54_3,0.7,0.6000000000000001
235,othello33_54_4,-0.21,0.18
236,othello33_54_5,0.0,0.0
237,othello33_54_6,0.5,0.5
238,othello33_54_7,0.0,0.0
239,othello33_54_8,0.0,0.0
240,othello33_54_9,0.0,0.0
241,othello33_55_1,0.0,0.0
242,othello33_55_2,0.0,0.0
243,othello33_55_3,0.0,0.0
244,othello33_56_1,0.0,0.0
245,othello33_57_1,0.0,0.0
246,othello33_57_2,0.0,0.0
247,othello33_58_1,0.0,0.0
248,othello33_59_1,0.0,0.0
249,othello33_60_1,0.0,0.0
250,othello33_61_1,0.0,0.0
251,othello33_62_1,0.0,0.0
252,othello33_62_2,0.0,0.0
253,othello33_62_3,0.05000000000000002,0.6
254,othello33_63_1,0.0,0.0
255,othello33_64_1,0.0,0.0
256,othello33_65_1,-0.5,1.0
